Text(°C),Tint(°C),Qhvac(W),Qsun(W)
0.000000000000000000e+00,2.089999961853027344e+01,1.770000000000000000e+03,9.718819785534223987e-01
0.000000000000000000e+00,2.089999961853027344e+01,3.146000000000000000e+03,2.082621993821565098e-02
0.000000000000000000e+00,2.089999961853027344e+01,5.475000000000000000e+03,3.252559263117740240e-01
0.000000000000000000e+00,2.089999961853027344e+01,1.734000000000000000e+03,2.019244445525457676e-01
-1.000000000000000000e+00,2.089999961853027344e+01,1.783000000000000000e+03,1.349888003020270899e-01
-1.000000000000000000e+00,2.079999923706054688e+01,3.144000000000000000e+03,1.097042214554644346e-01
-1.000000000000000000e+00,2.079999923706054688e+01,2.929000000000000000e+03,5.233219327585113545e-01
-1.000000000000000000e+00,2.089999961853027344e+01,1.794000000000000000e+03,1.557602089373547605e-01
-2.000000000000000000e+00,2.100000000000000000e+01,1.300000000000000000e+01,3.143972322770492989e-01
-2.000000000000000000e+00,2.100000000000000000e+01,3.663000000000000000e+03,3.660691529838712155e-01
-2.000000000000000000e+00,2.150000000000000000e+01,1.143000000000000000e+03,1.594907014411739432e-01
-2.000000000000000000e+00,2.139999961853027344e+01,1.766000000000000000e+03,7.588029939871900886e-01
-2.000000000000000000e+00,2.129999923706054688e+01,1.377000000000000000e+03,2.673364020469110036e-01
-2.000000000000000000e+00,2.150000000000000000e+01,3.635000000000000000e+03,2.709017978297723062e-02
-2.000000000000000000e+00,2.150000000000000000e+01,1.100000000000000000e+01,8.837503260089946133e-01
-2.000000000000000000e+00,2.150000000000000000e+01,1.354000000000000000e+03,2.774369825719209643e+02
-2.000000000000000000e+00,2.150000000000000000e+01,3.617000000000000000e+03,4.407848026641900105e+02
-1.000000000000000000e+00,2.150000000000000000e+01,1.149000000000000000e+03,6.583859756158111622e+02
-1.000000000000000000e+00,2.150000000000000000e+01,1.400000000000000000e+01,9.245411138389973758e+02
-2.000000000000000000e+00,2.150000000000000000e+01,2.281000000000000000e+03,1.220572511101093369e+03
0.000000000000000000e+00,2.150000000000000000e+01,2.319000000000000000e+03,1.514930256793932813e+03
0.000000000000000000e+00,2.160000038146972656e+01,1.200000000000000000e+01,1.767719663786366937e+03
0.000000000000000000e+00,2.200000000000000000e+01,1.359000000000000000e+03,1.939214478385412121e+03
0.000000000000000000e+00,2.229999923706054688e+01,2.972000000000000000e+03,2.000000000000000000e+03
0.000000000000000000e+00,2.220000076293945312e+01,1.141000000000000000e+03,1.939214478385412121e+03
1.000000000000000000e+00,2.150000000000000000e+01,4.246000000000000000e+03,1.767719663786366937e+03
0.000000000000000000e+00,2.150000000000000000e+01,4.151000000000000000e+03,1.514930256793932813e+03
0.000000000000000000e+00,2.179999923706054688e+01,1.200000000000000000e+01,1.220572511101093369e+03
0.000000000000000000e+00,2.179999923706054688e+01,1.793000000000000000e+03,9.245411138389973758e+02
1.000000000000000000e+00,2.150000000000000000e+01,3.184000000000000000e+03,6.583859756158111622e+02
1.000000000000000000e+00,2.150000000000000000e+01,1.168000000000000000e+03,4.407848026641900105e+02
1.000000000000000000e+00,2.160000038146972656e+01,1.777000000000000000e+03,2.774369825719209643e+02
0.000000000000000000e+00,2.170000076293945312e+01,3.152000000000000000e+03,1.641699972477975962e+02
0.000000000000000000e+00,2.189999961853027344e+01,4.246000000000000000e+03,9.133030922126044970e+01
0.000000000000000000e+00,2.210000038146972656e+01,1.782000000000000000e+03,3.711859445419862791e-01
0.000000000000000000e+00,2.189999961853027344e+01,1.409000000000000000e+03,4.802975796588866420e-01
0.000000000000000000e+00,2.179999923706054688e+01,1.780000000000000000e+03,7.132623415786301102e-01
0.000000000000000000e+00,2.160000038146972656e+01,1.801000000000000000e+03,8.168263338561352338e-01
0.000000000000000000e+00,2.150000000000000000e+01,3.212000000000000000e+03,2.238652842687938183e-01
